Dataset,Model,F1
BF_CTU_df,lr,0.81
BF_CTU_df,rf,0.83
BF_CTU_df,svm,0.82
BF_CTU_df,xgboost,0.81
BF_OU_df,lr,0.83
BF_OU_df,rf,0.84
BF_OU_df,svm,0.84
BF_OU_df,xgboost,0.82
BF_V_df,lr,0.79
BF_V_df,rf,0.83
BF_V_df,svm,0.79
BF_V_df,xgboost,0.81
DT_CC_df,lr,0.73
DT_CC_df,rf,0.77
DT_CC_df,svm,0.75
DT_CC_df,xgboost,0.73
DT_JI_df,lr,0.66
DT_JI_df,rf,0.6
DT_JI_df,svm,0.67
DT_JI_df,xgboost,0.61
IADQ_df,lr,0.83
IADQ_df,rf,0.83
IADQ_df,svm,0.84
IADQ_df,xgboost,0.8
IESR_df,lr,0.92
IESR_df,rf,0.95
IESR_df,svm,0.93
IESR_df,xgboost,0.93
NAQR_df,lr,0.91
NAQR_df,rf,0.92
NAQR_df,svm,0.93
NAQR_df,xgboost,0.9
PCL5_df,lr,0.78
PCL5_df,rf,0.85
PCL5_df,svm,0.79
PCL5_df,xgboost,0.83
PHQ9_df,lr,0.98
PHQ9_df,rf,0.99
PHQ9_df,svm,0.98
PHQ9_df,xgboost,0.99
PID5_df,lr,0.95
PID5_df,rf,0.96
PID5_df,svm,0.94
PID5_df,xgboost,0.96
PRFQ_df,lr,0.9
PRFQ_df,rf,0.9
PRFQ_df,svm,0.91
PRFQ_df,xgboost,0.89
PRMQ_df,lr,0.9
PRMQ_df,rf,0.93
PRMQ_df,svm,0.91
PRMQ_df,xgboost,0.93
DDDT_df,lr,0.76
DDDT_df,rf,0.79
DDDT_df,svm,0.76
DDDT_df,xgboost,0.78
SPID5_df,lr,0.96
SPID5_df,rf,0.97
SPID5_df,svm,0.96
SPID5_df,xgboost,0.96
RNEOPI_df,lr,0.58
RNEOPI_df,rf,0.63
RNEOPI_df,svm,0.57
RNEOPI_df,xgboost,0.64
